contig,bin
k141_1975735,metabat2bin_1001
k141_17399837,metabat2bin_1001
k141_5873846,metabat2bin_1001
k141_16189722,metabat2bin_1001
k141_8893083,metabat2bin_1001
k141_9379342,metabat2bin_1001
k141_4636124,metabat2bin_1001
k141_5122740,metabat2bin_1001
k141_10543685,metabat2bin_1001
k141_4397383,metabat2bin_1001
k141_17804988,metabat2bin_1001
k141_12670156,metabat2bin_1001
k141_4553765,metabat2bin_1001
k141_12000638,metabat2bin_1001
k141_5741980,metabat2bin_1001
k141_5930278,metabat2bin_1001
k141_7607513,metabat2bin_1001
k141_6342202,metabat2bin_1001
k141_14315916,metabat2bin_1001
k141_16144830,metabat2bin_1001
k141_9105928,metabat2bin_1001
k141_3836062,metabat2bin_1001
k141_9160488,metabat2bin_1001
k141_15515298,metabat2bin_1001
k141_11349416,metabat2bin_1001
k141_3408575,metabat2bin_1001
k141_13744276,metabat2bin_1001
k141_3784442,metabat2bin_1001
k141_15405578,metabat2bin_1001
k141_15097064,metabat2bin_1002
k141_9965781,metabat2bin_1002
k141_10088073,metabat2bin_1002
k141_12939455,metabat2bin_1002
k141_16160874,metabat2bin_1002
k141_3464633,metabat2bin_1002
k141_8334120,metabat2bin_1002
k141_13944423,metabat2bin_1002
k141_1000083,metabat2bin_1002
k141_10004117,metabat2bin_1002
k141_10004176,metabat2bin_1002
k141_10006405,metabat2bin_1002
k141_10007630,metabat2bin_1002
k141_10008235,metabat2bin_1002
k141_10010387,metabat2bin_1002
k141_10011408,metabat2bin_1002
k141_10012692,metabat2bin_1002
k141_10014960,metabat2bin_1002
k141_10015347,metabat2bin_1002
k141_10016958,metabat2bin_1002
k141_10018373,metabat2bin_1002
k141_10020377,metabat2bin_1002
k141_10062212,metabat2bin_1002
k141_10063526,metabat2bin_1002
k141_10063884,metabat2bin_1003
k141_10064092,metabat2bin_1003
k141_10064615,metabat2bin_1003
k141_10065342,metabat2bin_1003
k141_10069299,metabat2bin_1003
k141_10070340,metabat2bin_1003
k141_10071482,metabat2bin_1003
k141_10072185,metabat2bin_1003
k141_10072222,metabat2bin_1003
k141_10073450,metabat2bin_1003
k141_10074325,metabat2bin_1003
k141_10074505,metabat2bin_1003
k141_17466815,metabat2bin_1003
k141_7752497,metabat2bin_1003
k141_17956952,metabat2bin_1003
k141_3099995,metabat2bin_1003
k141_3800283,metabat2bin_1003
k141_15778578,metabat2bin_1003
k141_3278687,metabat2bin_1007
k141_14683101,metabat2bin_1007
k141_6160197,metabat2bin_1007
k141_13032236,metabat2bin_1007
k141_12776375,metabat2bin_1007
k141_8560362,metabat2bin_1007
k141_17611599,metabat2bin_1007
k141_16561883,metabat2bin_1007
k141_9981664,metabat2bin_1007
k141_7498639,metabat2bin_1007
k141_15525870,metabat2bin_1007
k141_8658781,metabat2bin_1007
k141_15492123,metabat2bin_1007
k141_9473001,metabat2bin_1007
k141_7511432,metabat2bin_1007
k141_11128156,metabat2bin_1007
k141_3467199,metabat2bin_1007
k141_9265043,metabat2bin_1007
k141_17106758,metabat2bin_1007
k141_14046364,metabat2bin_1007
k141_16538955,metabat2bin_1007
k141_1214185,metabat2bin_1007
k141_12076412,metabat2bin_1007
k141_17251167,metabat2bin_1007
k141_628011,metabat2bin_1007
k141_10330,metabat2bin_1007
k141_1650718,metabat2bin_1007
k141_12199913,metabat2bin_1007
k141_10219816,metabat2bin_1007
k141_1052510,metabat2bin_1007
k141_10530398,metabat2bin_1007
k141_10769687,metabat2bin_1007
k141_11029087,metabat2bin_1007
k141_11647028,metabat2bin_1007
k141_14086610,metabat2bin_1007
k141_1452061,metabat2bin_1007
k141_14827891,metabat2bin_1008
k141_15805756,metabat2bin_1009
k141_15815521,metabat2bin_1010
k141_15864658,metabat2bin_1011
k141_2644966,metabat2bin_1012
k141_3240567,metabat2bin_1013
k141_3692572,metabat2bin_1014
k141_5163409,metabat2bin_1015
k141_5408504,metabat2bin_1016
k141_5994306,metabat2bin_1017
k141_9158314,metabat2bin_1018
